CarName,carbody,drivewheel,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,citympg,highwaympg,price
alfa-romeo,convertible,rwd,225.04,428.75,162.81,1155.75,dohc,4,130,mpfi,3.47,111,21,27,13495.0
alfa-romeo,convertible,rwd,225.04,428.75,162.81,1155.75,dohc,4,130,mpfi,3.47,111,21,27,16500.0
alfa-romeo,hatchback,rwd,240.03,434.85,166.37,1280.49,ohcv,6,152,mpfi,2.68,154,19,26,16500.0
audi,sedan,fwd,253.49,448.56,168.15,1060.05,ohc,4,109,mpfi,3.19,102,24,30,13950.0
audi,sedan,4wd,252.48,448.56,168.66,1280.94,ohc,5,136,mpfi,3.19,115,18,22,17450.0
audi,sedan,fwd,253.49,450.34,168.4,1137.16,ohc,5,136,mpfi,3.19,110,19,25,15250.0
audi,sedan,fwd,268.73,489.46,181.36,1290.02,ohc,5,136,mpfi,3.19,110,19,25,17710.0
audi,wagon,fwd,268.73,489.46,181.36,1339.91,ohc,5,136,mpfi,3.19,110,19,25,18920.0
audi,sedan,fwd,268.73,489.46,181.36,1399.79,ohc,5,131,mpfi,3.13,140,17,20,23875.0
audi,hatchback,4wd,252.73,452.63,172.47,1384.82,ohc,5,131,mpfi,3.13,160,16,22,17859.167
bmw,sedan,rwd,257.05,449.07,164.59,1086.35,ohc,4,108,mpfi,3.5,101,23,29,16430.0
bmw,sedan,rwd,257.05,449.07,164.59,1086.35,ohc,4,108,mpfi,3.5,101,23,29,16925.0
bmw,sedan,rwd,257.05,449.07,164.59,1229.24,ohc,6,164,mpfi,3.31,121,21,28,20970.0
bmw,sedan,rwd,257.05,449.07,164.59,1254.18,ohc,6,164,mpfi,3.31,121,21,28,21105.0
bmw,sedan,rwd,262.89,480.06,169.93,1385.72,ohc,6,164,mpfi,3.31,121,20,25,24565.0
bmw,sedan,rwd,262.89,480.06,169.93,1465.1,ohc,6,209,mpfi,3.62,182,16,22,30760.0
bmw,sedan,rwd,262.89,492.25,172.47,1533.14,ohc,6,209,mpfi,3.62,182,16,22,41315.0
bmw,sedan,rwd,279.4,500.38,180.09,1589.84,ohc,6,209,mpfi,3.62,182,15,20,36880.0
chevrolet,hatchback,fwd,224.54,358.39,153.16,674.95,l,3,61,2bbl,2.91,48,47,53,5151.0
chevrolet,hatchback,fwd,240.03,395.99,161.54,850.03,ohc,4,90,2bbl,3.03,70,38,43,6295.0
chevrolet,sedan,fwd,240.03,403.35,161.54,865.91,ohc,4,90,2bbl,3.03,70,38,43,6575.0
dodge,hatchback,fwd,238.0,399.54,162.05,850.94,ohc,4,90,2bbl,2.97,68,37,41,5572.0
dodge,hatchback,fwd,238.0,399.54,162.05,850.94,ohc,4,90,2bbl,2.97,68,31,38,6377.0
dodge,hatchback,fwd,238.0,399.54,162.05,965.24,ohc,4,98,mpfi,3.03,102,24,30,7957.0
dodge,hatchback,fwd,238.0,399.54,162.05,892.22,ohc,4,90,2bbl,2.97,68,31,38,6229.0
dodge,sedan,fwd,238.0,399.54,162.05,902.2,ohc,4,90,2bbl,2.97,68,31,38,6692.0
dodge,sedan,fwd,238.0,399.54,162.05,902.2,ohc,4,90,2bbl,2.97,68,31,38,7609.0
dodge,sedan,fwd,238.0,399.54,162.05,993.82,ohc,4,98,mpfi,3.03,102,24,30,8558.0
dodge,wagon,fwd,262.38,443.48,164.08,1149.86,ohc,4,122,2bbl,3.34,88,24,30,8921.0
dodge,hatchback,fwd,243.59,439.93,168.4,1275.05,ohc,4,156,mfi,3.6,145,19,24,12964.0
honda,hatchback,fwd,219.96,367.28,162.31,777.0,ohc,4,92,1bbl,2.91,58,49,54,6479.0
honda,hatchback,fwd,219.96,367.28,162.31,825.08,ohc,4,92,1bbl,2.91,76,31,38,6855.0
honda,hatchback,fwd,238.0,381.0,162.56,833.25,ohc,4,79,1bbl,2.91,60,38,42,5399.0
honda,hatchback,fwd,238.0,381.0,162.56,879.97,ohc,4,92,1bbl,2.91,76,30,34,6529.0
honda,hatchback,fwd,238.0,381.0,162.56,887.23,ohc,4,92,1bbl,2.91,76,30,34,7129.0
honda,sedan,fwd,245.11,415.04,162.56,911.72,ohc,4,92,1bbl,2.91,76,30,34,7295.0
honda,wagon,fwd,245.11,399.03,162.31,918.07,ohc,4,92,1bbl,2.92,76,30,34,7295.0
honda,hatchback,fwd,245.11,425.45,165.61,1014.23,ohc,4,110,1bbl,3.15,86,27,33,7895.0
honda,hatchback,fwd,245.11,425.45,165.61,1038.27,ohc,4,110,1bbl,3.15,86,27,33,9095.0
honda,sedan,fwd,245.11,445.52,165.61,1045.08,ohc,4,110,1bbl,3.15,86,27,33,8845.0
honda,sedan,fwd,245.11,445.52,158.75,1075.92,ohc,4,110,1bbl,3.15,86,27,33,10295.0
honda,sedan,fwd,245.11,445.52,165.61,1118.11,ohc,4,110,mpfi,3.15,101,24,28,12945.0
honda,sedan,fwd,245.11,429.51,167.64,1040.09,ohc,4,110,2bbl,3.15,100,25,31,10345.0
isuzu,sedan,rwd,239.52,433.58,156.97,1060.05,ohc,4,111,2bbl,3.31,78,24,29,6785.0
isuzu,sedan,fwd,240.03,395.99,161.54,850.03,ohc,4,90,2bbl,3.03,70,38,43,8916.5
isuzu,sedan,fwd,240.03,395.99,161.54,865.91,ohc,4,90,2bbl,3.03,70,38,43,8916.5
isuzu,hatchback,rwd,243.84,438.4,165.61,1240.12,ohc,4,119,spfi,3.43,90,24,29,11048.0
jaguar,sedan,rwd,287.02,506.98,176.78,1844.31,dohc,6,258,mpfi,3.63,176,15,19,32250.0
jaguar,sedan,rwd,287.02,506.98,176.78,1844.31,dohc,6,258,mpfi,3.63,176,15,19,35550.0
jaguar,sedan,rwd,259.08,486.92,179.32,1791.69,ohcv,12,326,mpfi,3.54,262,13,17,36000.0
mazda,hatchback,fwd,236.47,404.11,163.07,857.29,ohc,4,91,2bbl,3.03,68,30,31,5195.0
mazda,hatchback,fwd,236.47,404.11,163.07,861.83,ohc,4,91,2bbl,3.03,68,31,38,6095.0
mazda,hatchback,fwd,236.47,404.11,163.07,864.09,ohc,4,91,2bbl,3.03,68,31,38,6795.0
mazda,sedan,fwd,236.47,423.67,163.07,882.24,ohc,4,91,2bbl,3.03,68,31,38,6695.0
mazda,sedan,fwd,236.47,423.67,163.07,884.51,ohc,4,91,2bbl,3.08,68,31,38,7395.0
mazda,hatchback,rwd,242.06,429.26,166.88,1079.55,rotor,2,70,4bbl,3.33,101,17,23,10945.0
mazda,hatchback,rwd,242.06,429.26,166.88,1079.55,rotor,2,70,4bbl,3.33,101,17,23,11845.0
mazda,hatchback,rwd,242.06,429.26,166.88,1081.82,rotor,2,70,4bbl,3.33,101,17,23,13645.0
mazda,hatchback,rwd,242.06,429.26,166.88,1133.98,rotor,2,80,mpfi,3.33,135,16,23,15645.0
mazda,hatchback,fwd,250.95,451.61,168.91,1081.82,ohc,4,122,2bbl,3.39,84,26,32,8845.0
mazda,sedan,fwd,250.95,451.61,168.91,1093.16,ohc,4,122,2bbl,3.39,84,26,32,8495.0
mazda,hatchback,fwd,250.95,451.61,168.91,1081.82,ohc,4,122,2bbl,3.39,84,26,32,10595.0
mazda,sedan,fwd,250.95,451.61,168.91,1093.16,ohc,4,122,2bbl,3.39,84,26,32,10245.0
mazda,sedan,fwd,250.95,451.61,168.91,1108.13,ohc,4,122,idi,3.39,64,36,42,10795.0
mazda,hatchback,fwd,250.95,451.61,168.91,1099.96,ohc,4,122,2bbl,3.39,84,26,32,11245.0
mazda,sedan,rwd,266.45,444.5,167.89,1211.09,ohc,4,140,mpfi,3.76,120,19,27,18280.0
mazda,sedan,rwd,266.45,444.5,167.89,1224.7,ohc,4,134,idi,3.43,72,31,39,18344.0
buick,sedan,rwd,279.4,484.89,178.56,1594.38,ohc,5,183,idi,3.58,123,22,25,25552.0
buick,wagon,rwd,279.4,484.89,178.56,1700.97,ohc,5,183,idi,3.58,123,22,25,28248.0
buick,hardtop,rwd,271.02,476.25,178.56,1585.31,ohc,5,183,idi,3.58,123,22,25,28176.0
buick,sedan,rwd,293.62,514.6,182.12,1710.04,ohc,5,183,idi,3.58,123,22,25,31600.0
buick,sedan,rwd,293.62,514.6,182.12,1696.44,ohcv,8,234,mpfi,3.46,155,16,18,34184.0
buick,convertible,rwd,245.36,457.96,179.07,1671.49,ohcv,8,234,mpfi,3.46,155,16,18,35056.0
buick,sedan,rwd,307.09,528.57,182.12,1769.01,ohcv,8,308,mpfi,3.8,184,14,16,40960.0
buick,hardtop,rwd,284.48,505.97,182.88,1685.1,ohcv,8,304,mpfi,3.8,184,14,16,45400.0
mercury,hatchback,rwd,260.86,453.14,172.72,1319.95,ohc,4,140,mpfi,3.78,175,19,24,16503.0
mitsubishi,hatchback,fwd,238.0,399.54,163.58,869.99,ohc,4,92,2bbl,2.97,68,37,41,5389.0
mitsubishi,hatchback,fwd,238.0,399.54,163.58,881.78,ohc,4,92,2bbl,2.97,68,31,38,6189.0
mitsubishi,hatchback,fwd,238.0,399.54,163.58,909.0,ohc,4,92,2bbl,2.97,68,31,38,6669.0
mitsubishi,hatchback,fwd,236.22,399.54,162.05,972.96,ohc,4,98,spdi,3.03,102,24,30,7689.0
mitsubishi,hatchback,fwd,244.6,439.42,166.12,1075.01,ohc,4,110,spdi,3.17,116,23,30,9959.0
mitsubishi,hatchback,fwd,244.6,439.42,166.12,1055.96,ohc,4,122,2bbl,3.35,88,25,32,8499.0
mitsubishi,hatchback,fwd,243.59,439.93,168.4,1285.03,ohc,4,156,spdi,3.58,145,19,24,12629.0
mitsubishi,hatchback,fwd,243.59,439.93,168.4,1324.94,ohc,4,156,spdi,3.59,145,19,24,14869.0
mitsubishi,hatchback,fwd,243.59,439.93,168.4,1327.21,ohc,4,156,spdi,3.59,145,19,24,14489.0
mitsubishi,sedan,fwd,244.6,437.9,166.12,1072.75,ohc,4,122,2bbl,3.35,88,25,32,6989.0
mitsubishi,sedan,fwd,244.6,437.9,166.12,1090.89,ohc,4,122,2bbl,3.35,88,25,32,8189.0
mitsubishi,sedan,fwd,244.6,437.9,166.12,1089.98,ohc,4,110,spdi,3.17,116,23,30,9279.0
mitsubishi,sedan,fwd,244.6,437.9,166.12,1089.98,ohc,4,110,spdi,3.17,116,23,30,9279.0
nissan,sedan,fwd,240.03,419.86,162.05,856.84,ohc,4,97,2bbl,3.15,69,31,37,5499.0
nissan,sedan,fwd,240.03,419.86,162.05,914.9,ohc,4,103,idi,2.99,55,45,50,7099.0
nissan,sedan,fwd,240.03,419.86,162.05,869.99,ohc,4,97,2bbl,3.15,69,31,37,6649.0
nissan,sedan,fwd,240.03,419.86,162.05,879.06,ohc,4,97,2bbl,3.15,69,31,37,6849.0
nissan,wagon,fwd,240.03,432.31,162.05,918.07,ohc,4,97,2bbl,3.15,69,31,37,7349.0
nissan,sedan,fwd,240.03,419.86,162.05,884.96,ohc,4,97,2bbl,3.15,69,31,37,7299.0
nissan,hatchback,fwd,240.03,420.62,162.05,919.89,ohc,4,97,2bbl,3.15,69,31,37,7799.0
nissan,sedan,fwd,240.03,419.86,162.05,894.03,ohc,4,97,2bbl,3.15,69,31,37,7499.0
nissan,wagon,fwd,240.03,432.31,162.05,923.97,ohc,4,97,2bbl,3.15,69,31,37,7999.0
nissan,hardtop,fwd,241.55,412.5,162.05,910.81,ohc,4,97,2bbl,3.15,69,31,37,8249.0
nissan,hatchback,fwd,246.89,440.44,165.61,1054.15,ohc,4,120,2bbl,3.33,97,27,34,8949.0
nissan,sedan,fwd,246.89,440.44,165.61,1044.17,ohc,4,120,2bbl,3.33,97,27,34,9549.0
nissan,sedan,fwd,255.02,461.52,168.91,1403.87,ohcv,6,181,mpfi,3.43,152,17,22,13499.0
nissan,wagon,fwd,255.02,468.88,168.91,1495.04,ohcv,6,181,mpfi,3.43,152,17,22,14399.0
nissan,sedan,fwd,255.02,468.88,168.91,1387.99,ohcv,6,181,mpfi,3.43,152,19,25,13499.0
nissan,hatchback,rwd,231.9,433.58,172.47,1392.98,ohcv,6,181,mpfi,3.43,160,19,25,17199.0
nissan,hatchback,rwd,231.9,433.58,172.47,1423.83,ohcv,6,181,mpfi,3.43,200,17,23,19699.0
nissan,hatchback,rwd,251.97,453.39,172.47,1423.83,ohcv,6,181,mpfi,3.43,160,19,25,18399.0
peugeot,sedan,rwd,274.07,474.22,173.74,1369.85,l,4,120,mpfi,3.46,97,19,24,11900.0
peugeot,sedan,rwd,274.07,474.22,173.74,1450.13,l,4,152,idi,3.7,95,28,33,13200.0
peugeot,wagon,rwd,290.07,505.21,173.74,1465.1,l,4,120,mpfi,3.46,97,19,24,12440.0
peugeot,wagon,rwd,290.07,505.21,173.74,1555.82,l,4,152,idi,3.7,95,25,25,13860.0
peugeot,sedan,rwd,274.07,474.22,173.74,1394.8,l,4,120,mpfi,3.46,95,19,24,15580.0
peugeot,sedan,rwd,274.07,474.22,173.74,1475.08,l,4,152,idi,3.7,95,28,33,16900.0
peugeot,wagon,rwd,290.07,505.21,173.74,1490.05,l,4,120,mpfi,3.46,95,19,24,16695.0
peugeot,wagon,rwd,290.07,505.21,173.74,1580.77,l,4,152,idi,3.7,95,25,25,17075.0
peugeot,sedan,rwd,274.07,474.22,173.74,1394.8,l,4,120,mpfi,3.46,97,19,24,16630.0
peugeot,sedan,rwd,274.07,474.22,173.74,1475.08,l,4,152,idi,3.7,95,28,33,17950.0
peugeot,sedan,rwd,274.32,474.22,173.48,1419.74,l,4,134,mpfi,3.61,142,18,24,18150.0
plymouth,hatchback,fwd,238.0,399.54,162.05,869.99,ohc,4,90,2bbl,2.97,68,37,41,5572.0
plymouth,hatchback,fwd,238.0,399.54,162.05,965.24,ohc,4,98,spdi,3.03,102,24,30,7957.0
plymouth,hatchback,fwd,238.0,399.54,162.05,892.22,ohc,4,90,2bbl,2.97,68,31,38,6229.0
plymouth,sedan,fwd,238.0,424.94,162.05,902.2,ohc,4,90,2bbl,2.97,68,31,38,6692.0
plymouth,sedan,fwd,238.0,424.94,162.05,993.82,ohc,4,98,2bbl,2.97,68,31,38,7609.0
plymouth,wagon,fwd,262.38,443.48,164.08,1149.86,ohc,4,122,2bbl,3.35,88,24,30,8921.0
plymouth,hatchback,rwd,243.59,439.93,168.4,1278.22,ohc,4,156,spdi,3.59,145,19,24,12764.0
porsche,hatchback,rwd,240.03,429.01,173.48,1260.08,ohc,4,151,mpfi,3.94,143,19,27,22018.0
porsche,hardtop,rwd,227.33,429.01,165.1,1250.1,ohc,6,194,mpfi,3.74,207,17,25,32528.0
porsche,hardtop,rwd,227.33,429.01,165.1,1250.1,ohc,6,194,mpfi,3.74,207,17,25,34028.0
porsche,convertible,rwd,227.33,429.01,165.1,1270.06,ohc,6,194,mpfi,3.74,207,17,25,37028.0
porsche,hatchback,rwd,249.94,446.28,183.64,1526.79,dohc,8,203,mpfi,3.94,288,17,28,31400.5
renault,wagon,fwd,244.09,461.01,168.91,1169.81,ohc,4,132,mpfi,3.46,90,23,31,9295.0
renault,hatchback,fwd,244.09,449.07,169.16,1115.84,ohc,4,132,mpfi,3.46,90,23,31,9895.0
saab,hatchback,fwd,251.71,473.96,168.91,1205.65,ohc,4,121,mpfi,3.54,110,21,28,11850.0
saab,sedan,fwd,251.71,473.96,168.91,1222.43,ohc,4,121,mpfi,3.54,110,21,28,12170.0
saab,hatchback,fwd,251.71,473.96,168.91,1227.87,ohc,4,121,mpfi,2.54,110,21,28,15040.0
saab,sedan,fwd,251.71,473.96,168.91,1251.01,ohc,4,121,mpfi,3.54,110,21,28,15510.0
saab,hatchback,fwd,251.71,473.96,168.91,1273.69,dohc,4,121,mpfi,3.54,160,19,26,18150.0
saab,sedan,fwd,251.71,473.96,168.91,1291.38,dohc,4,121,mpfi,3.54,160,19,26,18620.0
subaru,hatchback,fwd,238.0,398.53,161.04,929.86,ohc,4,97,2bbl,3.62,69,31,36,5118.0
subaru,hatchback,fwd,238.0,401.07,161.54,961.62,ohc,4,108,2bbl,3.62,73,26,31,7053.0
subaru,hatchback,4wd,236.98,399.54,162.05,1016.05,ohc,4,108,2bbl,3.62,73,26,31,7603.0
subaru,sedan,fwd,246.89,436.88,166.12,972.96,ohc,4,108,2bbl,3.62,82,32,37,7126.0
subaru,sedan,fwd,246.89,436.88,166.12,993.37,ohc,4,108,2bbl,3.62,82,28,33,7775.0
subaru,sedan,fwd,246.89,436.88,166.12,1061.41,ohc,4,108,mpfi,3.62,94,26,32,9960.0
subaru,sedan,4wd,246.38,436.88,166.12,1081.82,ohc,4,108,2bbl,3.62,82,24,25,9233.0
subaru,sedan,4wd,246.38,436.88,166.12,1138.52,ohc,4,108,mpfi,3.62,111,24,29,11259.0
subaru,wagon,fwd,246.38,440.69,166.12,1038.73,ohc,4,108,2bbl,3.62,82,28,32,7463.0
subaru,wagon,fwd,246.38,440.69,166.12,1113.57,ohc,4,108,mpfi,3.62,94,25,31,10198.0
subaru,wagon,4wd,246.13,440.94,166.12,1097.69,ohc,4,108,2bbl,3.62,82,23,29,8013.0
subaru,wagon,4wd,246.13,440.94,166.12,1202.02,ohc,4,108,mpfi,3.62,111,23,23,11694.0
toyota,hatchback,fwd,243.08,403.1,161.54,900.38,ohc,4,92,2bbl,3.05,62,35,39,5348.0
toyota,hatchback,fwd,243.08,403.1,161.54,925.33,ohc,4,92,2bbl,3.05,62,31,38,6338.0
toyota,hatchback,fwd,243.08,403.1,161.54,913.99,ohc,4,92,2bbl,3.05,62,31,38,6488.0
toyota,wagon,fwd,243.08,431.04,161.54,1034.19,ohc,4,92,2bbl,3.05,62,31,37,6918.0
toyota,wagon,4wd,243.08,431.04,161.54,1038.73,ohc,4,92,2bbl,3.05,62,27,32,7898.0
toyota,wagon,4wd,243.08,431.04,161.54,1410.67,ohc,4,92,2bbl,3.05,62,27,32,8778.0
toyota,sedan,fwd,243.08,422.4,163.58,943.93,ohc,4,98,2bbl,3.19,70,30,37,6938.0
toyota,hatchback,fwd,243.08,422.4,163.58,956.63,ohc,4,98,2bbl,3.19,70,30,37,7198.0
toyota,sedan,fwd,243.08,422.4,163.58,1031.92,ohc,4,110,idi,3.27,56,34,36,7898.0
toyota,hatchback,fwd,243.08,422.4,163.58,1031.92,ohc,4,110,idi,3.27,56,38,47,7788.0
toyota,sedan,fwd,243.08,422.4,163.58,949.82,ohc,4,98,2bbl,3.19,70,38,47,7738.0
toyota,hatchback,fwd,243.08,422.4,163.58,962.52,ohc,4,98,2bbl,3.19,70,28,34,8358.0
toyota,sedan,fwd,243.08,422.4,163.58,970.69,ohc,4,98,2bbl,3.19,70,28,34,9258.0
toyota,sedan,rwd,240.03,428.5,162.56,983.84,ohc,4,98,2bbl,3.19,70,29,34,8058.0
toyota,hatchback,rwd,240.03,428.5,162.56,999.72,ohc,4,98,2bbl,3.19,70,29,34,8238.0
toyota,sedan,rwd,240.03,428.5,162.56,1027.39,dohc,4,98,mpfi,3.24,112,26,29,9298.0
toyota,hatchback,rwd,240.03,428.5,162.56,1043.26,dohc,4,98,mpfi,3.24,112,26,29,9538.0
toyota,hardtop,rwd,249.94,447.55,166.62,1152.12,ohc,4,146,mpfi,3.62,116,24,30,8449.0
toyota,hardtop,rwd,249.94,447.55,166.62,1150.31,ohc,4,146,mpfi,3.62,116,24,30,9639.0
toyota,hatchback,rwd,249.94,447.55,166.62,1157.11,ohc,4,146,mpfi,3.62,116,24,30,9989.0
toyota,hardtop,rwd,249.94,447.55,166.62,1215.17,ohc,4,146,mpfi,3.62,116,24,30,11199.0
toyota,hatchback,rwd,249.94,447.55,166.62,1231.05,ohc,4,146,mpfi,3.62,116,24,30,11549.0
toyota,convertible,rwd,249.94,447.55,166.62,1349.44,ohc,4,146,mpfi,3.62,116,24,30,17669.0
toyota,sedan,fwd,260.1,446.02,168.91,1055.06,ohc,4,122,mpfi,3.31,92,29,34,8948.0
toyota,sedan,fwd,260.1,446.02,168.91,1124.91,ohc,4,110,idi,3.27,73,30,33,10698.0
toyota,hatchback,fwd,260.1,446.02,168.91,1094.97,ohc,4,122,mpfi,3.31,92,27,32,9988.0
toyota,sedan,fwd,260.1,446.02,168.91,1094.97,ohc,4,122,mpfi,3.31,92,27,32,10898.0
toyota,hatchback,fwd,260.1,446.02,168.91,1114.93,ohc,4,122,mpfi,3.31,92,27,32,11248.0
toyota,hatchback,rwd,261.37,466.09,171.96,1349.89,dohc,6,171,mpfi,3.27,161,20,24,16558.0
toyota,hatchback,rwd,261.37,466.09,171.96,1368.03,dohc,6,171,mpfi,3.27,161,19,24,15998.0
toyota,sedan,rwd,265.43,477.01,168.91,1420.2,dohc,6,171,mpfi,3.27,156,20,24,15690.0
toyota,wagon,rwd,265.43,477.01,168.91,1429.27,dohc,6,161,mpfi,3.27,156,19,24,15750.0
volkswagen,sedan,fwd,247.14,436.12,166.37,1025.57,ohc,4,97,idi,3.01,52,37,46,7775.0
volkswagen,sedan,fwd,247.14,436.12,166.37,1001.99,ohc,4,109,mpfi,3.19,85,27,34,7975.0
volkswagen,sedan,fwd,247.14,436.12,166.37,1026.93,ohc,4,97,idi,3.01,52,37,46,7995.0
volkswagen,sedan,fwd,247.14,436.12,166.37,1003.35,ohc,4,109,mpfi,3.19,85,27,34,8195.0
volkswagen,sedan,fwd,247.14,436.12,166.37,1031.92,ohc,4,109,mpfi,3.19,85,27,34,8495.0
volkswagen,sedan,fwd,247.14,436.12,166.37,1051.88,ohc,4,97,idi,3.01,68,37,42,9495.0
volkswagen,sedan,fwd,247.14,436.12,166.37,1043.26,ohc,4,109,mpfi,3.19,100,26,32,9995.0
volkswagen,convertible,fwd,240.03,404.62,163.07,1022.4,ohc,4,109,mpfi,3.19,90,24,29,11595.0
volkswagen,hatchback,fwd,240.03,420.88,162.56,1007.43,ohc,4,109,mpfi,3.19,90,24,29,9980.0
volkswagen,sedan,fwd,255.02,457.71,169.93,1207.01,ohc,5,136,mpfi,3.19,110,19,24,13295.0
volkswagen,sedan,fwd,255.02,457.71,169.93,1169.81,ohc,4,97,idi,3.01,68,33,38,13845.0
volkswagen,wagon,fwd,255.02,465.07,169.93,1162.56,ohc,4,109,mpfi,3.19,88,25,31,12290.0
volvo,sedan,rwd,264.92,479.55,170.69,1320.86,ohc,4,141,mpfi,3.78,114,23,28,12940.0
volvo,wagon,rwd,264.92,479.55,170.69,1376.2,ohc,4,141,mpfi,3.78,114,23,28,13415.0
volvo,sedan,rwd,264.92,479.55,170.69,1331.29,ohc,4,141,mpfi,3.78,114,24,28,15985.0
volvo,wagon,rwd,264.92,479.55,170.69,1379.83,ohc,4,141,mpfi,3.78,114,24,28,16515.0
volvo,sedan,rwd,264.92,479.55,170.69,1381.19,ohc,4,130,mpfi,3.62,162,17,22,18420.0
volvo,wagon,rwd,264.92,479.55,170.69,1431.99,ohc,4,130,mpfi,3.62,162,17,22,18950.0
volvo,sedan,rwd,277.11,479.55,175.01,1339.0,ohc,4,141,mpfi,3.78,114,23,28,16845.0
volvo,sedan,rwd,277.11,479.55,174.75,1383.0,ohc,4,141,mpfi,3.78,160,19,25,19045.0
volvo,sedan,rwd,277.11,479.55,175.01,1366.22,ohcv,6,173,mpfi,3.58,134,18,23,21485.0
volvo,sedan,rwd,277.11,479.55,175.01,1459.21,ohc,6,145,idi,3.01,106,26,27,22470.0
volvo,sedan,rwd,277.11,479.55,175.01,1388.9,ohc,4,141,mpfi,3.78,114,19,25,22625.0
